Counter,Demand_el [MWh],Demand_th [MWh],Sol_irradiation [Wh/sqm],Wind_power [kW/unit]
137,2.603467568,22.2755102,0,237.6585173
138,2.954427195,22.55714286,0,412.5479093
139,2.977245616,21.99387755,0,237.6585173
140,2.890038799,21.9,0,57.73941767
141,2.575658991,20.11632653,0,15.61811186
142,2.333427601,19.83469388,0,12.4726612
143,2.163872224,18.70816327,0,134.9184882
144,1.793369652,17.86326531,0,382.380178
145,1.462370648,17.01836735,0,258.6758467
146,1.261555352,17.01836735,0,279.6931761
147,1.187494407,16.9244898,0,216.6411879
148,1.206641656,16.83061224,0,216.6411879
149,1.270766256,18.23877551,0,382.380178
150,1.546565785,19.45918367,0,442.7156407
151,2.270819833,19.83469388,0,412.5479093
152,2.861548747,19.55306122,0,322.0447154
153,3.094569232,22.74489796,7.990131571,300.7105055
154,3.146779011,23.77755102,39.95065785,237.6585173
155,3.255639147,23.12040816,107.9488731,258.6758467
156,3.315762829,21.14897959,123.029248,322.0447154
157,3.289559016,19.27142857,85.55126951,412.5479093
158,3.233150472,19.08367347,75.35792592,382.380178
159,3.12310325,19.36530612,111.9964034,533.6173233
160,3.068563267,19.36530612,51.63840095,134.9184882
161,3.123345064,20.02244898,0,195.6238585
162,3.407739971,20.86734694,0,65.88899438
163,3.390966893,21.5244898,0,82.30367714
164,3.240998426,21.7122449,0,148.0721909
165,2.930993248,20.39795918,0,352.2124467
166,2.683991534,19.08367347,0,733.7715276
167,2.513271053,17.58163265,0,1067.927009
168,2.13529424,17.1122449,0,653.7098459
169,1.823816197,16.54897959,0,573.6481642
170,1.618670237,16.45510204,0,653.7098459
171,1.546807599,15.98571429,0,1017.044992
172,1.546675701,15.98571429,0,1017.044992
173,1.632519568,16.54897959,0,915.2809597
174,1.855625691,19.08367347,0,693.7406867
175,2.506917948,21.7122449,0,653.7098459
176,3.140843583,22.46326531,0,1169.691042
177,3.403892935,22.65102041,7.990131571,1017.044992
178,3.423260015,21.33673469,39.95065785,1017.044992
179,3.476129285,21.24285714,50.60416662,966.1629761
180,3.555026504,20.77346939,47.94078943,1118.809025
181,3.459993716,19.74081633,53.26754381,1017.044992
182,3.354716819,19.45918367,34.62390347,1224.227827
183,3.240690663,19.45918367,13.31688595,915.2809597
184,3.240734629,19.45918367,2.66337719,503.0511033
185,3.269422528,19.55306122,0,472.883372
186,3.458740681,19.45918367,0,573.6481642
187,3.378216715,19.45918367,0,258.6758467
188,3.241943698,21.61836735,0,733.7715276
189,2.892369003,20.58571429,0,1990.173864
190,2.595267885,19.55306122,0,613.679005
191,2.463281564,18.80204082,0,1118.809025
192,2.056902631,17.01836735,0,1279.69323
193,1.661559196,16.73673469,0,733.7715276
194,1.467734515,15.98571429,0,966.1629761
195,1.350476848,15.70408163,0,1279.69323
196,1.388727381,15.61020408,0,1118.809025
197,1.513481273,16.54897959,0,1279.69323
198,1.852240299,18.05102041,0,1279.69323
199,2.533253659,18.98979592,0,1390.624037
200,3.196109008,20.86734694,0,1557.020247
201,3.523612705,22.65102041,2.66337719,1980.456108
202,3.568326259,21.7122449,10.65350876,2050
203,3.643816103,20.96122449,26.6337719,2050
204,3.667381948,20.96122449,37.28728066,2050
